call_id,ticker,call_date,n_utterances,path
KMB_20170424,KMB,2017-04-24,200,data/processed/KMB_20170424.pt
TRST_20170424,TRST,2017-04-24,124,data/processed/TRST_20170424.pt
CAT_20170425,CAT,2017-04-25,113,data/processed/CAT_20170425.pt
CBU_20170425,CBU,2017-04-25,195,data/processed/CBU_20170425.pt
FCX_20170425,FCX,2017-04-25,200,data/processed/FCX_20170425.pt
LMT_20170425,LMT,2017-04-25,144,data/processed/LMT_20170425.pt
MMM_20170425,MMM,2017-04-25,179,data/processed/MMM_20170425.pt
TXN_20170425,TXN,2017-04-25,117,data/processed/TXN_20170425.pt
VLO_20170425,VLO,2017-04-25,100,data/processed/VLO_20170425.pt
WRI_20170425,WRI,2017-04-25,40,data/processed/WRI_20170425.pt
AVY_20170426,AVY,2017-04-26,115,data/processed/AVY_20170426.pt
CPF_20170426,CPF,2017-04-26,70,data/processed/CPF_20170426.pt
CUBI_20170426,CUBI,2017-04-26,200,data/processed/CUBI_20170426.pt
ECHO_20170426,ECHO,2017-04-26,200,data/processed/ECHO_20170426.pt
FCF_20170426,FCF,2017-04-26,101,data/processed/FCF_20170426.pt
GD_20170426,GD,2017-04-26,187,data/processed/GD_20170426.pt
HES_20170426,HES,2017-04-26,94,data/processed/HES_20170426.pt
HSY_20170426,HSY,2017-04-26,40,data/processed/HSY_20170426.pt
LMAT_20170426,LMAT,2017-04-26,200,data/processed/LMAT_20170426.pt
MGLN_20170426,MGLN,2017-04-26,200,data/processed/MGLN_20170426.pt
MHO_20170426,MHO,2017-04-26,200,data/processed/MHO_20170426.pt
MKTX_20170426,MKTX,2017-04-26,200,data/processed/MKTX_20170426.pt
NSC_20170426,NSC,2017-04-26,113,data/processed/NSC_20170426.pt
O_20170426,O,2017-04-26,200,data/processed/O_20170426.pt
ROK_20170426,ROK,2017-04-26,168,data/processed/ROK_20170426.pt
SAH_20170426,SAH,2017-04-26,200,data/processed/SAH_20170426.pt
STX_20170426,STX,2017-04-26,152,data/processed/STX_20170426.pt
SXT_20170426,SXT,2017-04-26,200,data/processed/SXT_20170426.pt
UTHR_20170426,UTHR,2017-04-26,104,data/processed/UTHR_20170426.pt
WRK_20170426,WRK,2017-04-26,149,data/processed/WRK_20170426.pt
XLNX_20170426,XLNX,2017-04-26,73,data/processed/XLNX_20170426.pt
ABBV_20170427,ABBV,2017-04-27,133,data/processed/ABBV_20170427.pt
ALLE_20170427,ALLE,2017-04-27,104,data/processed/ALLE_20170427.pt
AMZN_20170427,AMZN,2017-04-27,187,data/processed/AMZN_20170427.pt
ATNI_20170427,ATNI,2017-04-27,129,data/processed/ATNI_20170427.pt
BPFH_20170427,BPFH,2017-04-27,200,data/processed/BPFH_20170427.pt
CLD_20170427,CLD,2017-04-27,200,data/processed/CLD_20170427.pt
CMCSA_20170427,CMCSA,2017-04-27,104,data/processed/CMCSA_20170427.pt
CMO_20170427,CMO,2017-04-27,46,data/processed/CMO_20170427.pt
CYTK_20170427,CYTK,2017-04-27,190,data/processed/CYTK_20170427.pt
EHTH_20170427,EHTH,2017-04-27,167,data/processed/EHTH_20170427.pt
EIG_20170427,EIG,2017-04-27,149,data/processed/EIG_20170427.pt
EQT_20170427,EQT,2017-04-27,152,data/processed/EQT_20170427.pt
FWRD_20170427,FWRD,2017-04-27,95,data/processed/FWRD_20170427.pt
GHL_20170427,GHL,2017-04-27,175,data/processed/GHL_20170427.pt
INT_20170427,INT,2017-04-27,200,data/processed/INT_20170427.pt
INVA_20170427,INVA,2017-04-27,92,data/processed/INVA_20170427.pt
IRM_20170427,IRM,2017-04-27,85,data/processed/IRM_20170427.pt
JCI_20170427,JCI,2017-04-27,140,data/processed/JCI_20170427.pt
KIM_20170427,KIM,2017-04-27,200,data/processed/KIM_20170427.pt
LKQ_20170427,LKQ,2017-04-27,192,data/processed/LKQ_20170427.pt
LSTR_20170427,LSTR,2017-04-27,200,data/processed/LSTR_20170427.pt
MGM_20170427,MGM,2017-04-27,42,data/processed/MGM_20170427.pt
NATI_20170427,NATI,2017-04-27,153,data/processed/NATI_20170427.pt
NEU_20170427,NEU,2017-04-27,57,data/processed/NEU_20170427.pt
OIS_20170427,OIS,2017-04-27,147,data/processed/OIS_20170427.pt
PATK_20170427,PATK,2017-04-27,23,data/processed/PATK_20170427.pt
PDFS_20170427,PDFS,2017-04-27,200,data/processed/PDFS_20170427.pt
PH_20170427,PH,2017-04-27,137,data/processed/PH_20170427.pt
PJC_20170427,PJC,2017-04-27,79,data/processed/PJC_20170427.pt
POWI_20170427,POWI,2017-04-27,192,data/processed/POWI_20170427.pt
RTN_20170427,RTN,2017-04-27,144,data/processed/RTN_20170427.pt
SIVB_20170427,SIVB,2017-04-27,157,data/processed/SIVB_20170427.pt
SKYW_20170427,SKYW,2017-04-27,121,data/processed/SKYW_20170427.pt
SPOK_20170427,SPOK,2017-04-27,200,data/processed/SPOK_20170427.pt
SPSC_20170427,SPSC,2017-04-27,200,data/processed/SPSC_20170427.pt
